Product Name,Price,Original Prices,Discount rates,brand
MamyPoko Pants Pants Standard Diapers - S,191,195,2% off,MamyPoko Pants
Huggies Dry pants Medium - M,297,349,14% off,Huggies
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off,Miss
Johnson's Baby No More Tears Shampoo Baby Boys & Baby G...,163,165,1% off,Johnson's
Little Angel Baby Diaper Pants (2 x 56 Pcs) - M,880,"1,398",37% off,Little
Himalaya Total Care Baby Pants CMB(M) 4NX28'S - M,"1,040","1,600",35% off,Himalaya
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
Mamaearth Daily Moisturizing Lotion (400 ml) …,351,399,12% off,Mamaearth
Nestle Nestum Rice (Stage 1) Cereal,137,NaN,Nan,Nestle
MamyPoko Pants Pants Extra Absorb Diapers - New Born,277,299,7% off,MamyPoko Pants
Himalaya Gentle Baby Laundry Wash 500 ml (Pouch) Liquid...,196,245,20% off,Himalaya
MamyPoko Pants Pants Extra Absorb Diapers - XXL,255,275,7% off,MamyPoko Pants
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
Nestle Cerelac Wheat Honey Dates Cereal,242,NaN,Nan,Nestle
Huggies Wonder pants - XL,"1,407","1,599",12% off,Huggies
Pampers Baby Taped Diapers - M,849,999,15% off,Pampers
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
Vasundhara Mart 12 Pics Chuchu M Bath Toy,299,599,50% off,Vasundhara
Huggies Dry pants- XL - XL,293,349,16% off,Huggies
"Sebamed Baby Lotion, 400ml","1,094","1,183",7% off,Sebamed
Aptamil Infant Formula (Stage 1),705,NaN,Nan,Aptamil
Johnson's Baby Soap with Baby Lotion & Vitamin E,58,NaN,Nan,Johnson's
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
"Lifekrafts Baby Silicone Finger Toothbrush , Baby Finge...",128,199,35% off,Lifekrafts
"Mamaearth Natural Anti Mosquito Body Roll On, 40ml (Pac...",182,198,8% off,Mamaearth
Pampers Premium Care Pants - XS,275,299,8% off,Pampers
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Always Sporty BABY POOL 2FT,284,999,71% off,Always
MamyPoko Pants Pants - M,977,999,2% off,MamyPoko Pants
Pampers Active Baby Diapers - M,"1,034","1,049",1% off,Pampers
Huggies Wonder Pants - M,234,275,14% off,Huggies
Huggies Ultra soft - XS,529,630,16% off,Huggies
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
"Mamaearth Talc Free Organic Dusting Powder for Babies, ...",183,199,8% off,Mamaearth
Nestle Cerelac Wheat Orange Cereal,231,NaN,Nan,Nestle
MamyPoko Pants Pants Extra Absorb Diapers - XL,"2,371","2,790",15% off,MamyPoko Pants
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Nestle Nan Excella Pro Follow-up Formula-powder (Stage ...,710,NaN,Nan,Nestle
