Product Name,Price,Original Prices,Discount rates,brand,Column1
Flipkart SmartBuy PP Collapsible Wardrobe,"1,599","2,799",42% off,,Flipkart
GTC 6+2 Layer Fold able Wardrobe 88130C Carbon Steel Co...,"1,549","2,500",38% off,,GTC
Ebee Engineered Wood Computer Desk,"1,899","4,999",62% off,,Ebee
"Shopper52 Plastic, Metal Collapsible Shoe Stand",599,"2,000",70% off,,Shopper52
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off,,NapCloud
"MX Ultra Slim LCD LED TVs Wall Mount Stand 26"" to 55"" i...",269,700,61% off,,MX
Flipkart Perfect Homes Studio XXL Classic Bean Bag  Wit...,"1,649","2,999",45% off,,Flipkart
Flipkart Perfect Homes Studio Metal Kitchen Cabinet,699,"1,089",35% off,,Flipkart
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off,,NapCloud
Curio Centre Cotton Swing,"1,299","2,399",45% off,,Curio
Flipzon Baby 6 Shelve Unbreakable Material PVC Collapsi...,"1,095","2,999",63% off,,Flipzon
RoyalOak Angry Bird Kids Engineered Wood Study Table,"2,620","5,500",52% off,,RoyalOak
Nilkamal Leo Engineered Wood Computer Desk,"2,990","3,500",14% off,,Nilkamal
Sasimo 1-Door 6-Shelf Fabric Metal Collapsible Shoe Sta...,999,"4,899",79% off,,Sasimo
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off,,NapCloud
Furn Central Engineered Wood Shoe Rack,"6,790","8,482",19% off,,Furn
Nayasa Stool,812,999,18% off,,Nayasa
Royaldeals 88130 Polyester Collapsible Wardrobe,"1,299","2,038",36% off,,Royaldeals
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off,,NapCloud
Mil-Nil MILNIL36124I Luggage Rack,"5,250","5,310",1% off,,Mil-Nil
Tarkan Foldable Wooden Laptop Desk for Bed Wood Portabl...,799,"1,499",46% off,,Tarkan
Flipkart Perfect Homes Studio Single Door Metal Collaps...,"1,299","2,999",56% off,,Flipkart
Home Full Oscar 3 door Engineered Wood Shoe Rack,"5,690","8,599",33% off,,Home
Sasimo 1-Door 4-Shelf Fabric Metal Collapsible Shoe Sta...,599,"4,999",88% off,,Sasimo
NapCloud ZipNap Plus 8 inch King Memory Foam Mattress,"16,499","21,999",25% off,,NapCloud
SAVYA HOME Wood Portable Laptop Table,"1,090","2,500",56% off,,SAVYA
Flipkart SmartBuy Plastic Kitchen Cabinet,"2,090","2,999",30% off,,Flipkart
SleepX BRILL 5 inch Double PU Foam Mattress,"6,890","7,333",6% off,,SleepX
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off,,Flipkart
Home Full Alan Engineered Wood Open Book Shelf,"3,990","6,499",38% off,,Home
Snazzy Wood Portable Laptop Table,"1,249","1,999",37% off,,Snazzy
Ebee Metal Collapsible Shoe Stand,799,"2,499",68% off,,Ebee
Ebee Metal Shoe Stand,425,699,39% off,,Ebee
Flipkart SmartBuy FK2377 Full Motion TV Mount,"1,499","3,799",60% off,,Flipkart
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off,,Flipkart
Sasimo 1-Door 6-Shelf Fabric Metal Collapsible Shoe Sta...,999,"4,899",79% off,,Sasimo
Cello Oscar Center Table (Beige)  Plastic Coffee Table,"1,150","1,275",9% off,,Cello
Ebee Plastic Shoe Stand,249,999,75% off,,Ebee
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off,,NapCloud
Porchex Metal Collapsible Shoe Stand,799,"4,999",84% off,,Porchex
"ROQ LED LCD PLASMA TV Wall Mount 10"" to 26"" Movable wit...",199,999,80% off,,ROQ
FurnCentral 2 Door PP (Polypropylene) Collapsible Wardr...,"1,738","4,000",56% off,,FurnCentral
HomeBliss 14 to 32 Inch Fixed Wall Mount TV Stand Fixed...,131,399,67% off,,HomeBliss
Flipkart Perfect Homes Engineered Wood TV Entertainment...,"13,490","14,000",3% off,,Flipkart
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off,,NapCloud
Gymfy COLLAPSIBLE SHOE STAND Plastic Collapsible Shoe S...,999,"5,999",83% off,,Gymfy
Totsy Child Craft 6 Shelves Wardrobe Cotton Collapsible...,"1,299","2,199",40% off,,Totsy
Health Track Walker,999,"1,899",47% off,,Health
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off,,NapCloud
Furn Central Engineered Wood Study Table,"6,790","7,999",15% off,,Furn
"Skora High Quality , Imported , Round Shape Purple-Blac...","1,099","2,210",50% off,,Skora
Flipkart SmartBuy 6 + 2 Shelves 3 door 88130 Maroon Car...,"1,625","2,499",34% off,,Flipkart
Crystal Furnitech Botwin Engineered Wood Study Table,"7,090","9,777",27% off,,Crystal
"DazzelOn TV Wall Mount Bracket for Most 26-55 Inch LED,...","1,990","3,590",44% off,,DazzelOn
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off,,NapCloud
SleepX Dual Medium Soft & Hard 5 inch Single Bonded Foa...,"5,990","6,500",7% off,,SleepX
Furn Central Engineered Wood Study Table,"7,690","8,999",14% off,,Furn
TidyHomz Wood Portable Laptop Table,"1,199","1,900",36% off,,TidyHomz
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off,,NapCloud
Flipkart Perfect Homes Stemar Engineered Wood Shoe Rack,"7,790","13,499",42% off,,Flipkart
Flipkart Perfect Homes Cole Small Shoe Rack,"4,190","5,099",17% off,,Flipkart
KITCHEN INDIA Foldable 4 layer Shoe Rack Plastic Collap...,270,590,54% off,,KITCHEN
Trendegic Stylish Portable Seating Pinakin Stool (Red) ...,749,"1,322",43% off,,Trendegic
"DazzelOn DZ 14 - 42 "" Fixed TV Mount",299,690,56% off,,DazzelOn
NapCloud ZipNap Plus 8 inch King Memory Foam Mattress,"16,499","21,999",25% off,,NapCloud
"DazzelOn DZ 14 - 42 "" Fixed TV Mount",299,690,56% off,,DazzelOn
"MX Heavy Duty Dual Arm LCD Monitor Stand 19 to 42"" 180 ...","1,215","1,967",38% off,,MX
FurnCentral Fabric Shoe Stand,"1,499","3,299",54% off,,FurnCentral
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off,,Flipkart
