Product Name,Price,Original Prices,Discount rates,Ratings,Brand
"Motorola G8 Power Lite (Royal Blue, 64 GB)","8,999","9,999",10% off,NaN,Motorola
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","10,999","15,999",31% off,4.5,Redmi
"Vivo U10 (Thunder Black, 64 GB)","10,490","11,990",12% off,4.4,Vivo
"Realme 5s (Crystal Purple, 128 GB)","11,999","12,999",7% off,4.4,Realme
"Realme XT (Pearl Blue, 64 GB)","17,999",NaN,Nan,4.5,Realme
Itel It2171,849,875,2% off,4.1,Itel
Itel It2171,810,999,18% off,4.1,Itel
"Redmi Note 9 Pro (Aurora Blue, 64 GB)","12,999",NaN,Nan,4.4,Redmi
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","14,999","15,999",6% off,4.7,Redmi
"Apple iPhone XS (Space Grey, 64 GB)","62,999","89,900",29% off,4.7,Apple
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Realme X2 (Pearl Green, 64 GB)","17,999",NaN,Nan,4.5,Realme
"Realme X2 (Pearl Green, 128 GB)","19,999",NaN,Nan,4.5,Realme
"Apple iPhone XS (Gold, 64 GB)","62,999","89,900",29% off,4.7,Apple
Itel IT 2163,790,822,3% off,4,Itel
Kechaoda K66 Plus,999,NaN,Nan,4.1,Kechaoda
Kechaoda K66 Plus,999,NaN,Nan,4.1,Kechaoda
Kechaoda K-55 Plus,"1,045","1,199",12% off,4,Kechaoda
Lava Spark i8,"1,479","1,899",22% off,4.1,Lava
Samsung Metro 313 Dual Sim,"2,294","2,340",1% off,4.3,Samsung
"Redmi Note 8 Pro (Halo White, 128 GB)","18,999","19,999",5% off,4.5,Redmi
"Apple iPhone 11 (Purple, 64 GB)","68,300",NaN,Nan,4.7,Apple
"Coolpad Cool 3 (Midnight Blue, 16 GB)","4,549","6,990",34% off,3.8,Coolpad
"Apple iPhone 11 (White, 128 GB)","73,600",NaN,Nan,4.7,Apple
Nokia 105 SS,"1,149","1,249",8% off,4.3,Nokia
Nokia 105 SS,"1,119","1,249",10% off,4.3,Nokia
"Realme X2 (Pearl White, 128 GB)","20,999",NaN,Nan,4.5,Realme
"Realme X2 (Pearl Green, 128 GB)","20,999",NaN,Nan,4.5,Realme
"Realme X2 (Pearl White, 64 GB)","17,999",NaN,Nan,4.5,Realme
Lava A7,"1,316","1,899",30% off,4.2,Lava
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Lava A7,"1,316","1,899",30% off,4.2,Lava
"Apple iPhone 11 (White, 64 GB)","68,300",NaN,Nan,4.7,Apple
"Apple iPhone 7 Plus (Gold, 32 GB)","36,999","37,900",2% off,4.5,Apple
Lava 34 Plus,"1,499","1,729",13% off,4.3,Lava
Snexian Rock,"1,030","1,999",48% off,3.9,Snexian
"Mi A3 (Not just Blue, 128 GB)","14,999","17,499",14% off,4.3,Mi
Karbonn K9 Mini,790,990,20% off,3.9,Karbonn
"OPPO F11 (Jewelry White, 128 GB)","17,990","23,990",25% off,4.4,OPPO
"Realme XT (Pearl White, 64 GB)","17,999",NaN,Nan,4.5,Realme
"Realme XT (Pearl Blue, 128 GB)","19,999",NaN,Nan,4.5,Realme
"Realme XT (Pearl White, 128 GB)","19,999",NaN,Nan,4.5,Realme
"Apple iPhone 11 (Purple, 128 GB)","73,600",NaN,Nan,4.7,Apple
Kechaoda K33,949,NaN,Nan,4.1,Kechaoda
Kechaoda K33,949,NaN,Nan,4.1,Kechaoda
Kechaoda K33,949,NaN,Nan,4.1,Kechaoda
"Realme C1 (Navy Blue, 32 GB)","8,499","9,999",15% off,4.4,Realme
"POCO X2 (Matrix Purple, 64 GB)","16,999","17,999",5% off,4.5,POCO
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","30,999","70,000",55% off,4.5,Samsung
Micromax X741,"1,198",NaN,Nan,4,Micromax
Itel Muzik 400,"1,398",NaN,Nan,4.1,Itel
"Honor 10 Lite (Sky Blue, 64 GB)","12,199","18,999",35% off,4.4,Honor
Lava One,"1,159","1,349",14% off,4.1,Lava
Kechaoda A26,990,NaN,Nan,4.1,Kechaoda
Detel D1 Champ,590,NaN,Nan,3.7,Detel
Lava Spark i8,"1,559","1,569",Nan,4.1,Lava
"OPPO A5 2020 (Dazzling White, 64 GB)","12,490","14,990",16% off,4.4,OPPO
Kara Elight,699,NaN,Nan,3.7,Kara
"POCO X2 (Atlantis Blue, 256 GB)","20,999",NaN,Nan,4.5,POCO
